Beginning Data Collection for Model Comparisons...,,,,,,
aruco_approx_dist.py Test Case 5,,,,,,
marker size: 45,,,,,,
theta_fov: 1.416,,,,,,
image width: 640,,,,,,
calibrated pixel approx: d=14430m_px^-0.958,,,,,,
-----------------------------------------,,,,,,
True Dist [mm], RS Meas Dist [mm], RS Error [%], Pixel Approx Dist Theoretical [mm], Pixel Theo Error [%], Pixel Approx Dist Calib [mm], Pixel Calib Error [%]
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,398,-0.5,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,400.2,0.0493,401.53,0.3835
400,397,-0.75,395.45,-1.1386,396.97,-0.7586
400,397,-0.75,400.2,0.0493,401.53,0.3835
